entity,Average child mortality rate
Central African Republic,17.0
Somalia,15.91
Sierra Leone,15.05
Niger,14.59
South Sudan,14.19
Chad,13.97
Nigeria,13.15
Mali,12.64
Guinea,12.18
Burkina Faso,11.84
Liberia,11.37
Democratic Republic of Congo,11.33
Guinea-Bissau,11.15
Equatorial Guinea,10.6
Benin,10.35
Cameroon,10.22
Cote d'Ivoire,9.81
Mozambique,9.65
Low-income countries,9.54
Angola,9.17
Africa,9.17
Burundi,8.87
Lesotho,8.76
Malawi,8.61
Afghanistan,8.57
Togo,8.45
Ethiopia,8.31
Pakistan,8.14
Zambia,7.94
Uganda,7.88
Haiti,7.78
Eswatini,7.73
Zimbabwe,7.53
Rwanda,7.5
Madagascar,7.41
Sudan,7.33
Djibouti,7.22
East Timor,7.13
Gambia,7.07
Tanzania,6.93
Senegal,6.72
Lower-middle-income countries,6.71
Congo,6.57
Ghana,6.32
Myanmar,6.1
Kiribati,5.89
Mauritania,5.84
Yemen,5.75
Laos,5.71
Kenya,5.68
Namibia,5.62
Papua New Guinea,5.62
Comoros,5.52
Botswana,5.52
India,5.47
Eritrea,5.43
South Africa,5.21
World,5.11
Gabon,5.1
Bangladesh,4.86
Turkmenistan,4.77
Nepal,4.62
Cambodia,4.52
Tajikistan,4.12
Asia,4.11
Bhutan,3.99
Azerbaijan,3.78
Sao Tome and Principe,3.68
Marshall Islands,3.64
Bolivia,3.61
Guyana,3.58
Dominican Republic,3.5
North Korea,3.35
Guatemala,3.34
Iraq,3.27
Niue,3.23
Indonesia,3.17
Micronesia (country),3.16
Egypt,3.09
Morocco,3.01
Tuvalu,3.01
Philippines,3.01
Uzbekistan,3.01
Kyrgyzstan,2.9
Algeria,2.86
Mongolia,2.84
Dominica,2.71
Solomon Islands,2.6
Oceania,2.52
Syria,2.45
Paraguay,2.45
Trinidad and Tobago,2.4
Honduras,2.39
Fiji,2.38
Nauru,2.32
Palestine,2.31
Vietnam,2.28
Suriname,2.25
Cape Verde,2.24
Nicaragua,2.22
Palau,2.2
Upper-middle-income countries,2.16
Kosovo,2.13
Peru,2.1
Vanuatu,2.1
Venezuela,2.06
Kazakhstan,2.02
Iran,2.0
Brazil,1.99
South America,1.94
Saint Kitts and Nevis,1.92
Tunisia,1.92
Jamaica,1.9
Panama,1.89
Ecuador,1.88
Mexico,1.87
Turkey,1.86
Saint Vincent and the Grenadines,1.86
Samoa,1.86
Moldova,1.85
Jordan,1.85
Saint Lucia,1.84
El Salvador,1.82
Armenia,1.81
Libya,1.79
Belize,1.76
Colombia,1.75
Grenada,1.66
Georgia,1.63
China,1.62
North America,1.56
Mauritius,1.55
Maldives,1.54
Bahamas,1.53
British Virgin Islands,1.51
Lebanon,1.5
Cook Islands,1.44
Albania,1.43
Seychelles,1.42
Thailand,1.39
Argentina,1.37
Barbados,1.3
Tonga,1.28
Romania,1.23
Oman,1.2
Saudi Arabia,1.19
Antigua and Barbuda,1.18
Ukraine,1.16
Sri Lanka,1.15
Uruguay,1.09
Costa Rica,1.04
Bulgaria,1.03
North Macedonia,1.03
Russia,1.03
Kuwait,1.02
Brunei,1.01
Montserrat,0.96
Bahrain,0.91
Qatar,0.87
Malaysia,0.84
Chile,0.83
Anguilla,0.83
United Arab Emirates,0.81
Serbia,0.76
Turks and Caicos Islands,0.73
Latvia,0.72
United States,0.72
Slovakia,0.71
Bosnia and Herzegovina,0.71
Cuba,0.7
Taiwan,0.69
Montenegro,0.67
Europe,0.67
High-income countries,0.66
Malta,0.66
Lithuania,0.63
Hungary,0.6
Poland,0.6
New Zealand,0.6
Belarus,0.59
Croatia,0.58
Canada,0.56
United Kingdom,0.52
Estonia,0.49
European Union (27),0.49
Netherlands,0.46
Israel,0.46
Australia,0.46
Switzerland,0.45
Belgium,0.45
Ireland,0.45
Andorra,0.44
Greece,0.44
South Korea,0.44
France,0.44
Denmark,0.43
Austria,0.42
Germany,0.42
Portugal,0.42
Italy,0.39
Cyprus,0.39
Spain,0.39
Monaco,0.38
Czechia,0.36
Slovenia,0.33
Norway,0.33
Japan,0.32
Sweden,0.31
Finland,0.3
Luxembourg,0.3
Iceland,0.29
Singapore,0.28
San Marino,0.26
